Fri May 13 09:41:10 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\data\template.imp
Fri May 13 09:41:10 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\data\template.imp
Fri May 13 09:41:11 Loaded file C:\DOLGUNOV\USPD\UM-40\HW\BRANCHES\ME_MAX_FORM_FACTOR\2713706_PLATA_2000.MAX
Fri May 13 09:41:12 Loaded file C:\ORCAD_LIB\_SIM_LLB\RF.LLB
Fri May 13 09:41:14 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SBUS.llb
Fri May 13 09:41:14 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SIMM050F.llb
Fri May 13 09:41:14 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SIMM050T.llb
Fri May 13 09:41:15 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SIMM100F.llb
Fri May 13 09:41:15 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SIMM100T.llb
Fri May 13 09:41:15 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SIP.llb
Fri May 13 09:41:15 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\library\SM.llb
Fri May 13 09:41:17 Loaded file C:\Cadence\SPB_16.2\tools\Layout_Plus\data\template.imp
Fri May 13 09:47:30 Saved as file BACKUP1.MAX
Fri May 13 09:57:31 Saved as file BACKUP1.MAX
Fri May 13 10:07:31 Saved as file BACKUP1.MAX
Fri May 13 10:17:32 Saved as file BACKUP1.MAX
Fri May 13 10:27:32 Saved as file BACKUP1.MAX
Fri May 13 10:37:32 Saved as file BACKUP1.MAX
Fri May 13 10:47:33 Saved as file BACKUP1.MAX
Fri May 13 10:57:33 Saved as file BACKUP1.MAX
Fri May 13 11:07:33 Saved as file BACKUP1.MAX
Fri May 13 11:17:34 Saved as file BACKUP1.MAX
Fri May 13 11:27:34 Saved as file BACKUP1.MAX
Fri May 13 11:37:35 Saved as file BACKUP1.MAX
Fri May 13 11:47:35 Saved as file BACKUP1.MAX
Fri May 13 11:57:35 Saved as file BACKUP1.MAX
Fri May 13 12:07:36 Saved as file BACKUP1.MAX
Fri May 13 12:17:36 Saved as file BACKUP1.MAX
Fri May 13 12:27:36 Saved as file BACKUP1.MAX
Fri May 13 12:37:37 Saved as file BACKUP1.MAX
Fri May 13 12:47:37 Saved as file BACKUP1.MAX
Fri May 13 12:57:38 Saved as file BACKUP1.MAX
Fri May 13 13:07:38 Saved as file BACKUP1.MAX
Fri May 13 13:17:38 Saved as file BACKUP1.MAX
Fri May 13 13:27:39 Saved as file BACKUP1.MAX
Fri May 13 13:37:39 Saved as file BACKUP1.MAX
Fri May 13 13:43:11 Loaded file C:\DOLGUNOV\AKB_FOR_UM-XX\HW\TRANK\BACKUP1-2.MAX
Mon Sep 05 22:20:57 Saved as file BACKUP1.MAX
Mon Sep 05 22:30:55 Saved as file BACKUP1.MAX
